date,ticker,rows,anomalies_bandas,anomalies_if,anomalies_both,anomalies_or
2025-10-23,^VIX,753,63,38,11,90
2025-10-23,^GSPC,753,75,38,11,102
2025-10-23,^MXX,754,70,38,10,98
2025-10-23,^SPX,753,75,38,11,102
2025-10-24,BYMA.BA,736,82,37,10,109
2025-10-24,^N225,737,85,37,7,115
2025-10-24,^VIX,754,63,38,10,91
2025-10-24,^GSPC,753,75,38,11,102
2025-10-24,^BVSP,752,75,38,7,106
2025-10-24,^MXX,752,70,38,10,98
2025-10-24,^SPX,751,73,38,9,102
2025-10-27,^VIX,752,64,38,10,92
2025-10-27,^GSPC,752,74,38,9,103
2025-10-27,^BVSP,750,75,38,7,106
2025-10-27,^N225,735,85,37,8,114
2025-10-24,^DJI,751,83,38,13,108
